location_cam,common_name,season,total_duration,total_images,total_series
OGW-ABMI-1057-11_HF2 PRO COVERT,Beaver,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Beaver,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Bird,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Bird,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Black Bear,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Black Bear,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Coyote,summer,50.62866846321385,10,4
OGW-ABMI-1057-11_HF2 PRO COVERT,Coyote,winter,82.94300269482076,18,6
OGW-ABMI-1057-11_HF2 PRO COVERT,"Cranes, Rails, Coots",summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Cranes, Rails, Coots",winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Crows, Jays, and Allies",summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Crows, Jays, and Allies",winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Deer,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Deer,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Ducks, Swans, Geese",summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Ducks, Swans, Geese",winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Elk (wapiti),summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Elk (wapiti),winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Ermine,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Ermine,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Fisher,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Fisher,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Grouse, Ptarmigan and allies",summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Grouse, Ptarmigan and allies",winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Magpie,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Magpie,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Moose,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Moose,winter,173.17723285323825,55,10
OGW-ABMI-1057-11_HF2 PRO COVERT,Mule deer,summer,21.70545978406117,9,1
OGW-ABMI-1057-11_HF2 PRO COVERT,Mule deer,winter,959.8988443844469,194,31
OGW-ABMI-1057-11_HF2 PRO COVERT,Muskrat,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Muskrat,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Pelicans, Herons, Egrets",summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Pelicans, Herons, Egrets",winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Porcupine,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Porcupine,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Red fox,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Red fox,winter,7.249491525423728,1,1
OGW-ABMI-1057-11_HF2 PRO COVERT,Red Squirrel,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Red Squirrel,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Snowshoe Hare,summer,50.85021241287753,2,1
OGW-ABMI-1057-11_HF2 PRO COVERT,Snowshoe Hare,winter,284.3148854961832,35,23
OGW-ABMI-1057-11_HF2 PRO COVERT,"Voles, Mice and Allies",summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Voles, Mice and Allies",winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,White-tailed Deer,summer,262.5675149389034,48,12
OGW-ABMI-1057-11_HF2 PRO COVERT,White-tailed Deer,winter,1015.4806427361049,217,16
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Beaver,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Beaver,winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Bird,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Bird,winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Black Bear,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Black Bear,winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Coyote,summer,39.97150134741038,10,3
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Coyote,winter,36.62866846321385,8,4
OGW-ABMI-1057-11_PC900 PROFESSIONAL,"Cranes, Rails, Coots",summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,"Cranes, Rails, Coots",winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,"Crows, Jays, and Allies",summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,"Crows, Jays, and Allies",winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Deer,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Deer,winter,5.168250419228619,1,1
OGW-ABMI-1057-11_PC900 PROFESSIONAL,"Ducks, Swans, Geese",summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,"Ducks, Swans, Geese",winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Elk (wapiti),summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Elk (wapiti),winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Ermine,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Ermine,winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Fisher,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Fisher,winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,"Grouse, Ptarmigan and allies",summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,"Grouse, Ptarmigan and allies",winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Magpie,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Magpie,winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Moose,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Moose,winter,152.14394359500653,39,9
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Mule deer,summer,23.912169751276068,8,2
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Mule deer,winter,711.1385220599212,141,28
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Muskrat,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Muskrat,winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,"Pelicans, Herons, Egrets",summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,"Pelicans, Herons, Egrets",winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Porcupine,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Porcupine,winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Red fox,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Red fox,winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Red Squirrel,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Red Squirrel,winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Snowshoe Hare,summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,Snowshoe Hare,winter,281.07297378028545,23,14
OGW-ABMI-1057-11_PC900 PROFESSIONAL,"Voles, Mice and Allies",summer,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,"Voles, Mice and Allies",winter,0,0,0
OGW-ABMI-1057-11_PC900 PROFESSIONAL,White-tailed Deer,summer,190.04796469734194,31,11
OGW-ABMI-1057-11_PC900 PROFESSIONAL,White-tailed Deer,winter,1095.9243456075803,191,17
OGW-ABMI-1057-13_HF2 PRO COVERT,Beaver,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Beaver,winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Bird,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Bird,winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Black Bear,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Black Bear,winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Coyote,summer,47.647167115803455,8,1
OGW-ABMI-1057-13_HF2 PRO COVERT,Coyote,winter,35.97150134741038,9,3
OGW-ABMI-1057-13_HF2 PRO COVERT,"Cranes, Rails, Coots",summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,"Cranes, Rails, Coots",winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,"Crows, Jays, and Allies",summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,"Crows, Jays, and Allies",winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Deer,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Deer,winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,"Ducks, Swans, Geese",summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,"Ducks, Swans, Geese",winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Elk (wapiti),summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Elk (wapiti),winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Ermine,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Ermine,winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Fisher,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Fisher,winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,"Grouse, Ptarmigan and allies",summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,"Grouse, Ptarmigan and allies",winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Magpie,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Magpie,winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Moose,summer,4.534476491084965,1,1
OGW-ABMI-1057-13_HF2 PRO COVERT,Moose,winter,392.43476491084965,58,9
OGW-ABMI-1057-13_HF2 PRO COVERT,Mule deer,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Mule deer,winter,1762.9648352917957,342,41
OGW-ABMI-1057-13_HF2 PRO COVERT,Muskrat,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Muskrat,winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,"Pelicans, Herons, Egrets",summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,"Pelicans, Herons, Egrets",winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Porcupine,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Porcupine,winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Red fox,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Red fox,winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Red Squirrel,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Red Squirrel,winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Snowshoe Hare,summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,Snowshoe Hare,winter,67.40084965151013,7,4
OGW-ABMI-1057-13_HF2 PRO COVERT,"Voles, Mice and Allies",summer,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,"Voles, Mice and Allies",winter,0,0,0
OGW-ABMI-1057-13_HF2 PRO COVERT,White-tailed Deer,summer,433.5208293652071,106,6
OGW-ABMI-1057-13_HF2 PRO COVERT,White-tailed Deer,winter,1010.3720891866461,218,25
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Beaver,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Beaver,winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Bird,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Bird,winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Black Bear,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Black Bear,winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Coyote,summer,39.247167115803464,5,1
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Coyote,winter,36.97150134741038,8,3
OGW-ABMI-1057-13_PC900 PROFESSIONAL,"Cranes, Rails, Coots",summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,"Cranes, Rails, Coots",winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,"Crows, Jays, and Allies",summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,"Crows, Jays, and Allies",winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Deer,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Deer,winter,5.168250419228619,1,1
OGW-ABMI-1057-13_PC900 PROFESSIONAL,"Ducks, Swans, Geese",summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,"Ducks, Swans, Geese",winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Elk (wapiti),summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Elk (wapiti),winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Ermine,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Ermine,winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Fisher,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Fisher,winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,"Grouse, Ptarmigan and allies",summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,"Grouse, Ptarmigan and allies",winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Magpie,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Magpie,winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Moose,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Moose,winter,118.48685894650978,27,6
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Mule deer,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Mule deer,winter,1640.0560580020501,287,37
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Muskrat,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Muskrat,winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,"Pelicans, Herons, Egrets",summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,"Pelicans, Herons, Egrets",winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Porcupine,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Porcupine,winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Red fox,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Red fox,winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Red Squirrel,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Red Squirrel,winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Snowshoe Hare,summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,Snowshoe Hare,winter,58.851062064387655,7,5
OGW-ABMI-1057-13_PC900 PROFESSIONAL,"Voles, Mice and Allies",summer,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,"Voles, Mice and Allies",winter,0,0,0
OGW-ABMI-1057-13_PC900 PROFESSIONAL,White-tailed Deer,summer,407.08721561342685,91,6
OGW-ABMI-1057-13_PC900 PROFESSIONAL,White-tailed Deer,winter,1067.2649921100658,212,29
OGW-ABMI-1057-14_HF2 PRO COVERT,Beaver,summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Beaver,winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Bird,summer,70.3323076923077,7,6
OGW-ABMI-1057-14_HF2 PRO COVERT,Bird,winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Black Bear,summer,154.5296468854271,26,3
OGW-ABMI-1057-14_HF2 PRO COVERT,Black Bear,winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Coyote,summer,17.65716711580346,4,1
OGW-ABMI-1057-14_HF2 PRO COVERT,Coyote,winter,59.94300269482078,11,6
OGW-ABMI-1057-14_HF2 PRO COVERT,"Cranes, Rails, Coots",summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,"Cranes, Rails, Coots",winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,"Crows, Jays, and Allies",summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,"Crows, Jays, and Allies",winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Deer,summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Deer,winter,15.504751257685857,3,3
OGW-ABMI-1057-14_HF2 PRO COVERT,"Ducks, Swans, Geese",summer,481.16552028775163,70,70
OGW-ABMI-1057-14_HF2 PRO COVERT,"Ducks, Swans, Geese",winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Elk (wapiti),summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Elk (wapiti),winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Ermine,summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Ermine,winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Fisher,summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Fisher,winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,"Grouse, Ptarmigan and allies",summer,7.405990016638935,2,1
OGW-ABMI-1057-14_HF2 PRO COVERT,"Grouse, Ptarmigan and allies",winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Magpie,summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Magpie,winter,6.420094648707681,1,1
OGW-ABMI-1057-14_HF2 PRO COVERT,Moose,summer,230.6034294732549,86,3
OGW-ABMI-1057-14_HF2 PRO COVERT,Moose,winter,4390.38750886293,772,35
OGW-ABMI-1057-14_HF2 PRO COVERT,Mule deer,summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Mule deer,winter,517.498338018181,106,32
OGW-ABMI-1057-14_HF2 PRO COVERT,Muskrat,summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Muskrat,winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,"Pelicans, Herons, Egrets",summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,"Pelicans, Herons, Egrets",winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Porcupine,summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Porcupine,winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Red fox,summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Red fox,winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Red Squirrel,summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Red Squirrel,winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Snowshoe Hare,summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,Snowshoe Hare,winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,"Voles, Mice and Allies",summer,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,"Voles, Mice and Allies",winter,0,0,0
OGW-ABMI-1057-14_HF2 PRO COVERT,White-tailed Deer,summer,1052.9364100195676,231,80
OGW-ABMI-1057-14_HF2 PRO COVERT,White-tailed Deer,winter,3194.478574435336,698,68
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Beaver,summer,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Beaver,winter,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Bird,summer,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Bird,winter,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Black Bear,summer,189.90296452477943,39,3
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Black Bear,winter,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Coyote,summer,20.65716711580346,7,1
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Coyote,winter,95.79072686330244,16,10
OGW-ABMI-1057-14_PC900 PROFESSIONAL,"Cranes, Rails, Coots",summer,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,"Cranes, Rails, Coots",winter,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,"Crows, Jays, and Allies",summer,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,"Crows, Jays, and Allies",winter,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Deer,summer,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Deer,winter,31.841252096143098,9,5
OGW-ABMI-1057-14_PC900 PROFESSIONAL,"Ducks, Swans, Geese",summer,1051.5737994573105,170,146
OGW-ABMI-1057-14_PC900 PROFESSIONAL,"Ducks, Swans, Geese",winter,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Elk (wapiti),summer,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Elk (wapiti),winter,0,0,0
OGW-ABMI-1057-14_PC900 PROFESSIONAL,Ermine,summer,0,0,0
